"activity"	"subject"	"variables"	"mean"
"WALKING_DOWNSTAIRS"	"8"	"tbodyaccmeanx"	0.283484089210526
"WALKING_UPSTAIRS"	"8"	"tbodyaccmeanx"	0.258880152048781
"LAYING"	"9"	"tbodyaccmeanx"	0.2591955368
"SITTING"	"9"	"tbodyaccmeanx"	0.24832674354
"STANDING"	"9"	"tbodyaccmeanx"	0.282310057333333
"WALKING"	"9"	"tbodyaccmeanx"	0.278502842115385
"WALKING_DOWNSTAIRS"	"9"	"tbodyaccmeanx"	0.295923445
"WALKING_UPSTAIRS"	"9"	"tbodyaccmeanx"	0.262436475714286
"LAYING"	"10"	"tbodyaccmeanx"	0.280230574137931
"SITTING"	"10"	"tbodyaccmeanx"	0.270612056481481
"STANDING"	"10"	"tbodyaccmeanx"	0.276650300681818
"WALKING"	"10"	"tbodyaccmeanx"	0.278574076603774
"WALKING_DOWNSTAIRS"	"10"	"tbodyaccmeanx"	0.290401594315789
"WALKING_UPSTAIRS"	"10"	"tbodyaccmeanx"	0.267121853404255
"LAYING"	"11"	"tbodyaccmeanx"	0.280592970877193
"SITTING"	"11"	"tbodyaccmeanx"	0.276590197358491
"STANDING"	"11"	"tbodyaccmeanx"	0.277715562765957
"WALKING"	"11"	"tbodyaccmeanx"	0.271821892881356
"WALKING_DOWNSTAIRS"	"11"	"tbodyaccmeanx"	0.291605631956522
"WALKING_UPSTAIRS"	"11"	"tbodyaccmeanx"	0.263775859277778
"LAYING"	"12"	"tbodyaccmeanx"	0.260113433
"SITTING"	"12"	"tbodyaccmeanx"	0.275007224901961
"STANDING"	"12"	"tbodyaccmeanx"	0.277405834918033
"WALKING"	"12"	"tbodyaccmeanx"	0.2771286656
"WALKING_DOWNSTAIRS"	"12"	"tbodyaccmeanx"	0.281521097391304
"WALKING_UPSTAIRS"	"12"	"tbodyaccmeanx"	0.272970338653846
"LAYING"	"13"	"tbodyaccmeanx"	0.276716360483871
"SITTING"	"13"	"tbodyaccmeanx"	0.274328499591837
"STANDING"	"13"	"tbodyaccmeanx"	0.277758431052632
"WALKING"	"13"	"tbodyaccmeanx"	0.275883130350877
"WALKING_DOWNSTAIRS"	"13"	"tbodyaccmeanx"	0.294907553404255
"WALKING_UPSTAIRS"	"13"	"tbodyaccmeanx"	0.258203939581818
"LAYING"	"14"	"tbodyaccmeanx"	0.233275439803922
"SITTING"	"14"	"tbodyaccmeanx"	0.279990577037037
"STANDING"	"14"	"tbodyaccmeanx"	0.280545613833333
"WALKING"	"14"	"tbodyaccmeanx"	0.271959598644068
"WALKING_DOWNSTAIRS"	"14"	"tbodyaccmeanx"	0.293422115555556
"WALKING_UPSTAIRS"	"14"	"tbodyaccmeanx"	0.26242106612963
"LAYING"	"15"	"tbodyaccmeanx"	0.2894756525
"SITTING"	"15"	"tbodyaccmeanx"	0.27290337979661
"STANDING"	"15"	"tbodyaccmeanx"	0.278915803962264
"WALKING"	"15"	"tbodyaccmeanx"	0.273899207962963
"WALKING_DOWNSTAIRS"	"15"	"tbodyaccmeanx"	0.280198851190476
"WALKING_UPSTAIRS"	"15"	"tbodyaccmeanx"	0.270187595833333
"LAYING"	"16"	"tbodyaccmeanx"	0.274227162571429
"SITTING"	"16"	"tbodyaccmeanx"	0.280768574492754
"STANDING"	"16"	"tbodyaccmeanx"	0.283497402948718
"WALKING"	"16"	"tbodyaccmeanx"	0.276023564509804
"WALKING_DOWNSTAIRS"	"16"	"tbodyaccmeanx"	0.295586802191489
"WALKING_UPSTAIRS"	"16"	"tbodyaccmeanx"	0.255986102627451
"LAYING"	"17"	"tbodyaccmeanx"	0.269780085577465
"SITTING"	"17"	"tbodyaccmeanx"	0.2773570196875
"STANDING"	"17"	"tbodyaccmeanx"	0.277942503333333
"WALKING"	"17"	"tbodyaccmeanx"	0.272341855245902
"WALKING_DOWNSTAIRS"	"17"	"tbodyaccmeanx"	0.29391828326087
"WALKING_UPSTAIRS"	"17"	"tbodyaccmeanx"	0.252604768583333
"LAYING"	"18"	"tbodyaccmeanx"	0.274691576923077
"SITTING"	"18"	"tbodyaccmeanx"	0.27727001877193
"STANDING"	"18"	"tbodyaccmeanx"	0.278458805890411
"WALKING"	"18"	"tbodyaccmeanx"	0.273887758571429
"WALKING_DOWNSTAIRS"	"18"	"tbodyaccmeanx"	0.288439468909091
"WALKING_UPSTAIRS"	"18"	"tbodyaccmeanx"	0.265401201896552
"LAYING"	"19"	"tbodyaccmeanx"	0.272653733493976
"SITTING"	"19"	"tbodyaccmeanx"	0.273830316164384
"STANDING"	"19"	"tbodyaccmeanx"	0.27817226
"WALKING"	"19"	"tbodyaccmeanx"	0.273931172307692
"WALKING_DOWNSTAIRS"	"19"	"tbodyaccmeanx"	0.262688053871795
"WALKING_UPSTAIRS"	"19"	"tbodyaccmeanx"	0.242118808925
"LAYING"	"20"	"tbodyaccmeanx"	0.239507882205882
"SITTING"	"20"	"tbodyaccmeanx"	0.278045439090909
"STANDING"	"20"	"tbodyaccmeanx"	0.278076904657534
"WALKING"	"20"	"tbodyaccmeanx"	0.272589336470588
"WALKING_DOWNSTAIRS"	"20"	"tbodyaccmeanx"	0.296144421355556
"WALKING_UPSTAIRS"	"20"	"tbodyaccmeanx"	0.252098317156863
"LAYING"	"21"	"tbodyaccmeanx"	0.271325472455556
"SITTING"	"21"	"tbodyaccmeanx"	0.277539616823529
"STANDING"	"21"	"tbodyaccmeanx"	0.27695224258427
"WALKING"	"21"	"tbodyaccmeanx"	0.279183526730769
"WALKING_DOWNSTAIRS"	"21"	"tbodyaccmeanx"	0.3014610196
"WALKING_UPSTAIRS"	"21"	"tbodyaccmeanx"	0.265194544680851
"LAYING"	"22"	"tbodyaccmeanx"	0.279959721194444
"SITTING"	"22"	"tbodyaccmeanx"	0.273583822709677
"STANDING"	"22"	"tbodyaccmeanx"	0.279053861587302
"WALKING"	"22"	"tbodyaccmeanx"	0.27886459
"WALKING_DOWNSTAIRS"	"22"	"tbodyaccmeanx"	0.284458963861111
"WALKING_UPSTAIRS"	"22"	"tbodyaccmeanx"	0.248391534566667
"LAYING"	"23"	"tbodyaccmeanx"	0.274038007986111
"SITTING"	"23"	"tbodyaccmeanx"	0.273351251617647
"STANDING"	"23"	"tbodyaccmeanx"	0.277899323235294
"WALKING"	"23"	"tbodyaccmeanx"	0.273211884237288
"WALKING_DOWNSTAIRS"	"23"	"tbodyaccmeanx"	0.289897411148148
"WALKING_UPSTAIRS"	"23"	"tbodyaccmeanx"	0.249995171031373
"LAYING"	"24"	"tbodyaccmeanx"	0.272850494930556
"SITTING"	"24"	"tbodyaccmeanx"	0.273475690147059
"STANDING"	"24"	"tbodyaccmeanx"	0.280348883913043
"WALKING"	"24"	"tbodyaccmeanx"	0.276980816034483
"WALKING_DOWNSTAIRS"	"24"	"tbodyaccmeanx"	0.288631208909091
"WALKING_UPSTAIRS"	"24"	"tbodyaccmeanx"	0.269881106779661
"LAYING"	"25"	"tbodyaccmeanx"	0.250791828613699
"SITTING"	"25"	"tbodyaccmeanx"	0.278541482461538
"STANDING"	"25"	"tbodyaccmeanx"	0.278013701621622
"WALKING"	"25"	"tbodyaccmeanx"	0.278992759054054
"WALKING_DOWNSTAIRS"	"25"	"tbodyaccmeanx"	0.291329666206897
"WALKING_UPSTAIRS"	"25"	"tbodyaccmeanx"	0.277995411384615
"LAYING"	"26"	"tbodyaccmeanx"	0.271645864540789
"SITTING"	"26"	"tbodyaccmeanx"	0.258243530166667
"STANDING"	"26"	"tbodyaccmeanx"	0.281127035405405
"WALKING"	"26"	"tbodyaccmeanx"	0.279264443728814
"WALKING_DOWNSTAIRS"	"26"	"tbodyaccmeanx"	0.2792845828
"WALKING_UPSTAIRS"	"26"	"tbodyaccmeanx"	0.272691394545455
"LAYING"	"27"	"tbodyaccmeanx"	0.274102492432432
"SITTING"	"27"	"tbodyaccmeanx"	0.273941302571429
"STANDING"	"27"	"tbodyaccmeanx"	0.279566921625
"WALKING"	"27"	"tbodyaccmeanx"	0.276849485438596
"WALKING_DOWNSTAIRS"	"27"	"tbodyaccmeanx"	0.2975441875
"WALKING_UPSTAIRS"	"27"	"tbodyaccmeanx"	0.265770253921569
"LAYING"	"28"	"tbodyaccmeanx"	0.2759134825
"SITTING"	"28"	"tbodyaccmeanx"	0.276977629444444
"STANDING"	"28"	"tbodyaccmeanx"	0.277795069113924
"WALKING"	"28"	"tbodyaccmeanx"	0.281228223888889
"WALKING_DOWNSTAIRS"	"28"	"tbodyaccmeanx"	0.293642076521739
"WALKING_UPSTAIRS"	"28"	"tbodyaccmeanx"	0.262005841764706
"LAYING"	"29"	"tbodyaccmeanx"	0.287295196811594
"SITTING"	"29"	"tbodyaccmeanx"	0.2771799775
"STANDING"	"29"	"tbodyaccmeanx"	0.277965065846154
"WALKING"	"29"	"tbodyaccmeanx"	0.271999916792453
"WALKING_DOWNSTAIRS"	"29"	"tbodyaccmeanx"	0.293140441083333
"WALKING_UPSTAIRS"	"29"	"tbodyaccmeanx"	0.265423066877551
"LAYING"	"30"	"tbodyaccmeanx"	0.281033900571429
"SITTING"	"30"	"tbodyaccmeanx"	0.268336081379032
"STANDING"	"30"	"tbodyaccmeanx"	0.277112699152542
"WALKING"	"30"	"tbodyaccmeanx"	0.276406758
"WALKING_DOWNSTAIRS"	"30"	"tbodyaccmeanx"	0.283190646967742
"WALKING_UPSTAIRS"	"30"	"tbodyaccmeanx"	0.271415642261538
"LAYING"	"1"	"tbodyaccmeany"	-0.0405139534294
"SITTING"	"1"	"tbodyaccmeany"	-0.00130828765170213
"STANDING"	"1"	"tbodyaccmeany"	-0.0161375901037736
"WALKING"	"1"	"tbodyaccmeany"	-0.0173838185273684
"WALKING_DOWNSTAIRS"	"1"	"tbodyaccmeany"	-0.00991850461020408
"WALKING_UPSTAIRS"	"1"	"tbodyaccmeany"	-0.0239531492643396
"LAYING"	"2"	"tbodyaccmeany"	-0.0181587397583333
"SITTING"	"2"	"tbodyaccmeany"	-0.0156879937282609
"STANDING"	"2"	"tbodyaccmeany"	-0.0184208270166667
"WALKING"	"2"	"tbodyaccmeany"	-0.0185949199145763
"WALKING_DOWNSTAIRS"	"2"	"tbodyaccmeany"	-0.0226614158361702
"WALKING_UPSTAIRS"	"2"	"tbodyaccmeany"	-0.0214121132045833
"LAYING"	"3"	"tbodyaccmeany"	-0.0189556785048387
"SITTING"	"3"	"tbodyaccmeany"	-0.00350299841730769
"STANDING"	"3"	"tbodyaccmeany"	-0.0143376555065574
"WALKING"	"3"	"tbodyaccmeany"	-0.0171767844203448
"WALKING_DOWNSTAIRS"	"3"	"tbodyaccmeany"	-0.0193554079328571
"WALKING_UPSTAIRS"	"3"	"tbodyaccmeany"	-0.0324109410555932
"LAYING"	"4"	"tbodyaccmeany"	-0.0150031841055556
"SITTING"	"4"	"tbodyaccmeany"	-0.007163065158
"STANDING"	"4"	"tbodyaccmeany"	-0.00948911098553571
"WALKING"	"4"	"tbodyaccmeany"	-0.0148399475341667
"WALKING_DOWNSTAIRS"	"4"	"tbodyaccmeany"	-0.00980200850666667
"WALKING_UPSTAIRS"	"4"	"tbodyaccmeany"	-0.0319804295729615
"LAYING"	"5"	"tbodyaccmeany"	-0.0183042123269231
"SITTING"	"5"	"tbodyaccmeany"	-0.00990083527045455
"STANDING"	"5"	"tbodyaccmeany"	-0.00700418554517857
"WALKING"	"5"	"tbodyaccmeany"	-0.0172850317482679
"WALKING_DOWNSTAIRS"	"5"	"tbodyaccmeany"	-0.00850107533191489
"WALKING_UPSTAIRS"	"5"	"tbodyaccmeany"	-0.0325269755153191
"LAYING"	"6"	"tbodyaccmeany"	-0.0102529170561404
"SITTING"	"6"	"tbodyaccmeany"	-0.0145911615290909
"STANDING"	"6"	"tbodyaccmeany"	-0.0181236327175439
"WALKING"	"6"	"tbodyaccmeany"	-0.0168954189082456
"WALKING_DOWNSTAIRS"	"6"	"tbodyaccmeany"	-0.019536840063125
"WALKING_UPSTAIRS"	"6"	"tbodyaccmeany"	-0.0272425385070588
"LAYING"	"7"	"tbodyaccmeany"	-0.0204411516884615
"SITTING"	"7"	"tbodyaccmeany"	-0.01461097580375
"STANDING"	"7"	"tbodyaccmeany"	-0.0145740341037736
"WALKING"	"7"	"tbodyaccmeany"	-0.018653665345614
"WALKING_DOWNSTAIRS"	"7"	"tbodyaccmeany"	-0.0166332372978723
"WALKING_UPSTAIRS"	"7"	"tbodyaccmeany"	-0.0275639005607843
"LAYING"	"8"	"tbodyaccmeany"	-0.0212281733881481
"SITTING"	"8"	"tbodyaccmeany"	-0.00672550621304348
"STANDING"	"8"	"tbodyaccmeany"	-0.0148113067148148
"WALKING"	"8"	"tbodyaccmeany"	-0.0186628865310417
"WALKING_DOWNSTAIRS"	"8"	"tbodyaccmeany"	-0.0211058674973684
"WALKING_UPSTAIRS"	"8"	"tbodyaccmeany"	-0.0282415136341463
"LAYING"	"9"	"tbodyaccmeany"	-0.020526821662
"SITTING"	"9"	"tbodyaccmeany"	-0.02701677698
"STANDING"	"9"	"tbodyaccmeany"	-0.0200454954022222
"WALKING"	"9"	"tbodyaccmeany"	-0.0180891971284423
"WALKING_DOWNSTAIRS"	"9"	"tbodyaccmeany"	-0.0203994269075476
"WALKING_UPSTAIRS"	"9"	"tbodyaccmeany"	-0.0195101099975714
"LAYING"	"10"	"tbodyaccmeany"	-0.024294484137931
"SITTING"	"10"	"tbodyaccmeany"	-0.015042681852037
"STANDING"	"10"	"tbodyaccmeany"	-0.0155418603409091
"WALKING"	"10"	"tbodyaccmeany"	-0.017022351190566
"WALKING_DOWNSTAIRS"	"10"	"tbodyaccmeany"	-0.0200050770710526
"WALKING_UPSTAIRS"	"10"	"tbodyaccmeany"	-0.0143854920340426
"LAYING"	"11"	"tbodyaccmeany"	-0.0176598052315789
"SITTING"	"11"	"tbodyaccmeany"	-0.0149195616754717
"STANDING"	"11"	"tbodyaccmeany"	-0.0171990886595745
"WALKING"	"11"	"tbodyaccmeany"	-0.0166475833623729
"WALKING_DOWNSTAIRS"	"11"	"tbodyaccmeany"	-0.0178097721219565
"WALKING_UPSTAIRS"	"11"	"tbodyaccmeany"	-0.0303157822055556
"LAYING"	"12"	"tbodyaccmeany"	-0.0175203917146667
"SITTING"	"12"	"tbodyaccmeany"	-0.0157892988523529
"STANDING"	"12"	"tbodyaccmeany"	-0.0169002543196721
"WALKING"	"12"	"tbodyaccmeany"	-0.015560927606
"WALKING_DOWNSTAIRS"	"12"	"tbodyaccmeany"	-0.018084266865793
"WALKING_UPSTAIRS"	"12"	"tbodyaccmeany"	-0.0263574903403846
"LAYING"	"13"	"tbodyaccmeany"	-0.020440454366129
"SITTING"	"13"	"tbodyaccmeany"	-0.00587732936326531
"STANDING"	"13"	"tbodyaccmeany"	-0.0167891993964912
"WALKING"	"13"	"tbodyaccmeany"	-0.0185660651947368
"WALKING_DOWNSTAIRS"	"13"	"tbodyaccmeany"	-0.0143723839108511
"WALKING_UPSTAIRS"	"13"	"tbodyaccmeany"	-0.0277392253910909
"LAYING"	"14"	"tbodyaccmeany"	-0.0113424652490196
"SITTING"	"14"	"tbodyaccmeany"	-0.00870565463888889
"STANDING"	"14"	"tbodyaccmeany"	-0.01520781344
"WALKING"	"14"	"tbodyaccmeany"	-0.0217785380966102
"WALKING_DOWNSTAIRS"	"14"	"tbodyaccmeany"	-0.0200141413657778
"WALKING_UPSTAIRS"	"14"	"tbodyaccmeany"	-0.0204388180024074
"LAYING"	"15"	"tbodyaccmeany"	-0.0166296542054167
"SITTING"	"15"	"tbodyaccmeany"	-0.0117188472271186
"STANDING"	"15"	"tbodyaccmeany"	-0.0183516360396226
"WALKING"	"15"	"tbodyaccmeany"	-0.0170809740090741
"WALKING_DOWNSTAIRS"	"15"	"tbodyaccmeany"	-0.00563047804309524
"WALKING_UPSTAIRS"	"15"	"tbodyaccmeany"	-0.0287523860708333
"LAYING"	"16"	"tbodyaccmeany"	-0.0166103510562857
"SITTING"	"16"	"tbodyaccmeany"	-0.0102497939956522
"STANDING"	"16"	"tbodyaccmeany"	-0.0165999672935897
"WALKING"	"16"	"tbodyaccmeany"	-0.0204286929452941
"WALKING_DOWNSTAIRS"	"16"	"tbodyaccmeany"	-0.0183898583787234
"WALKING_UPSTAIRS"	"16"	"tbodyaccmeany"	-0.0143654945011765
"LAYING"	"17"	"tbodyaccmeany"	-0.0168462006729577
"SITTING"	"17"	"tbodyaccmeany"	-0.014156274084375
"STANDING"	"17"	"tbodyaccmeany"	-0.0174120064169231
"WALKING"	"17"	"tbodyaccmeany"	-0.0184875403339344
"WALKING_DOWNSTAIRS"	"17"	"tbodyaccmeany"	-0.0167359404347826
"WALKING_UPSTAIRS"	"17"	"tbodyaccmeany"	-0.0228645614308333
"LAYING"	"18"	"tbodyaccmeany"	-0.0173937684615385
"SITTING"	"18"	"tbodyaccmeany"	-0.0128691279736842
"STANDING"	"18"	"tbodyaccmeany"	-0.0166353518150685
"WALKING"	"18"	"tbodyaccmeany"	-0.0178023631866071
"WALKING_DOWNSTAIRS"	"18"	"tbodyaccmeany"	-0.0168666920221818
"WALKING_UPSTAIRS"	"18"	"tbodyaccmeany"	-0.0222060684378914
"LAYING"	"19"	"tbodyaccmeany"	-0.0171426864421687
"SITTING"	"19"	"tbodyaccmeany"	-0.016739260030137
"STANDING"	"19"	"tbodyaccmeany"	-0.0154244056945205
"WALKING"	"19"	"tbodyaccmeany"	-0.0191773587903846
"WALKING_DOWNSTAIRS"	"19"	"tbodyaccmeany"	-0.0145942275069487
"WALKING_UPSTAIRS"	"19"	"tbodyaccmeany"	-0.0303986615775
"LAYING"	"20"	"tbodyaccmeany"	-0.0144406281132353
"SITTING"	"20"	"tbodyaccmeany"	-0.0147229305131818
"STANDING"	"20"	"tbodyaccmeany"	-0.0180695049161644
"WALKING"	"20"	"tbodyaccmeany"	-0.021199992245098
"WALKING_DOWNSTAIRS"	"20"	"tbodyaccmeany"	-0.00964120773155556
"WALKING_UPSTAIRS"	"20"	"tbodyaccmeany"	-0.0282258047588235
"LAYING"	"21"	"tbodyaccmeany"	-0.0184233048415556
"SITTING"	"21"	"tbodyaccmeany"	-0.0144009705494118
"STANDING"	"21"	"tbodyaccmeany"	-0.0167084730205618
"WALKING"	"21"	"tbodyaccmeany"	-0.0181610317526923
"WALKING_DOWNSTAIRS"	"21"	"tbodyaccmeany"	-0.0173195390157778
"WALKING_UPSTAIRS"	"21"	"tbodyaccmeany"	-0.0237218695148936
"LAYING"	"22"	"tbodyaccmeany"	-0.0142629864502778
"SITTING"	"22"	"tbodyaccmeany"	-0.0123468446419355
"STANDING"	"22"	"tbodyaccmeany"	-0.0158563207496825
"WALKING"	"22"	"tbodyaccmeany"	-0.0167213607957174
"WALKING_DOWNSTAIRS"	"22"	"tbodyaccmeany"	-0.0197999371686389
"WALKING_UPSTAIRS"	"22"	"tbodyaccmeany"	-0.0268622561133333
"LAYING"	"23"	"tbodyaccmeany"	-0.0216553835833333
"SITTING"	"23"	"tbodyaccmeany"	-0.0133945015676471
"STANDING"	"23"	"tbodyaccmeany"	-0.0177475547867647
"WALKING"	"23"	"tbodyaccmeany"	-0.0183618711932203
"WALKING_DOWNSTAIRS"	"23"	"tbodyaccmeany"	-0.0162111457238889
"WALKING_UPSTAIRS"	"23"	"tbodyaccmeany"	-0.0323844029237255
"LAYING"	"24"	"tbodyaccmeany"	-0.0173555210111111
"SITTING"	"24"	"tbodyaccmeany"	-0.0131255097938235
"STANDING"	"24"	"tbodyaccmeany"	-0.0144785340348986
"WALKING"	"24"	"tbodyaccmeany"	-0.0225446400534483
"WALKING_DOWNSTAIRS"	"24"	"tbodyaccmeany"	-0.0145730348310909
"WALKING_UPSTAIRS"	"24"	"tbodyaccmeany"	-0.0251979434569492
"LAYING"	"25"	"tbodyaccmeany"	-0.0188943663671233
"SITTING"	"25"	"tbodyaccmeany"	-0.0147696808030769
"STANDING"	"25"	"tbodyaccmeany"	-0.0163569730274324
"WALKING"	"25"	"tbodyaccmeany"	-0.0186477624716216
"WALKING_DOWNSTAIRS"	"25"	"tbodyaccmeany"	-0.0210170522987931
"WALKING_UPSTAIRS"	"25"	"tbodyaccmeany"	-0.0269863524264615
"LAYING"	"26"	"tbodyaccmeany"	-0.0191895728026316
"SITTING"	"26"	"tbodyaccmeany"	-0.00713364541358974
"STANDING"	"26"	"tbodyaccmeany"	-0.0166608306652703
"WALKING"	"26"	"tbodyaccmeany"	-0.0154259586949153
"WALKING_DOWNSTAIRS"	"26"	"tbodyaccmeany"	-0.01262580966778
"WALKING_UPSTAIRS"	"26"	"tbodyaccmeany"	-0.0281633797398182
"LAYING"	"27"	"tbodyaccmeany"	-0.0179867611216216
"SITTING"	"27"	"tbodyaccmeany"	-0.0155269799285714
"STANDING"	"27"	"tbodyaccmeany"	-0.016593236445
"WALKING"	"27"	"tbodyaccmeany"	-0.0166478783221912
"WALKING_DOWNSTAIRS"	"27"	"tbodyaccmeany"	-0.0135564467159091
"WALKING_UPSTAIRS"	"27"	"tbodyaccmeany"	-0.0200953324078431
"LAYING"	"28"	"tbodyaccmeany"	-0.0167537858225
"SITTING"	"28"	"tbodyaccmeany"	-0.0185404441258333
"STANDING"	"28"	"tbodyaccmeany"	-0.0172635124672152
"WALKING"	"28"	"tbodyaccmeany"	-0.0156759722981481
"WALKING_DOWNSTAIRS"	"28"	"tbodyaccmeany"	-0.0220230465913043
"WALKING_UPSTAIRS"	"28"	"tbodyaccmeany"	-0.0279443943478431
"LAYING"	"29"	"tbodyaccmeany"	-0.0171965484202899
"SITTING"	"29"	"tbodyaccmeany"	-0.016630680375
"STANDING"	"29"	"tbodyaccmeany"	-0.0172605869061538
"WALKING"	"29"	"tbodyaccmeany"	-0.0162915600588679
"WALKING_DOWNSTAIRS"	"29"	"tbodyaccmeany"	-0.01494121505625
"WALKING_UPSTAIRS"	"29"	"tbodyaccmeany"	-0.0299465312326531
"LAYING"	"30"	"tbodyaccmeany"	-0.0194494098614286
"SITTING"	"30"	"tbodyaccmeany"	-0.00804731295322581
"STANDING"	"30"	"tbodyaccmeany"	-0.0170163887813559
"WALKING"	"30"	"tbodyaccmeany"	-0.0175880385730769
"WALKING_DOWNSTAIRS"	"30"	"tbodyaccmeany"	-0.0174383900204839
"WALKING_UPSTAIRS"	"30"	"tbodyaccmeany"	-0.0253311698786154
"LAYING"	"1"	"tbodyaccmeanz"	-0.11320355358
"SITTING"	"1"	"tbodyaccmeanz"	-0.104544182255319
"STANDING"	"1"	"tbodyaccmeanz"	-0.110601817735849
"WALKING"	"1"	"tbodyaccmeanz"	-0.111148103547368
"WALKING_DOWNSTAIRS"	"1"	"tbodyaccmeanz"	-0.107566190908163
"WALKING_UPSTAIRS"	"1"	"tbodyaccmeanz"	-0.0973020020943396
"LAYING"	"2"	"tbodyaccmeanz"	-0.107245610416667
"SITTING"	"2"	"tbodyaccmeanz"	-0.109218272456522
"STANDING"	"2"	"tbodyaccmeanz"	-0.105908536055556
"WALKING"	"2"	"tbodyaccmeanz"	-0.105500357966102
"WALKING_DOWNSTAIRS"	"2"	"tbodyaccmeanz"	-0.116812942382979
"WALKING_UPSTAIRS"	"2"	"tbodyaccmeanz"	-0.152513899520833
"LAYING"	"3"	"tbodyaccmeanz"	-0.101300477506452
"SITTING"	"3"	"tbodyaccmeanz"	-0.0983579203269231
"STANDING"	"3"	"tbodyaccmeanz"	-0.101621722633148
"WALKING"	"3"	"tbodyaccmeanz"	-0.112674859827586
"WALKING_DOWNSTAIRS"	"3"	"tbodyaccmeanz"	-0.116139842908163
"WALKING_UPSTAIRS"	"3"	"tbodyaccmeanz"	-0.110064863437288
"LAYING"	"4"	"tbodyaccmeanz"	-0.110688150314815
"SITTING"	"4"	"tbodyaccmeanz"	-0.10587459588
"STANDING"	"4"	"tbodyaccmeanz"	-0.0961574905535714
"WALKING"	"4"	"tbodyaccmeanz"	-0.11140306485
"WALKING_DOWNSTAIRS"	"4"	"tbodyaccmeanz"	-0.1067775246
"WALKING_UPSTAIRS"	"4"	"tbodyaccmeanz"	-0.114219455519231
"LAYING"	"5"	"tbodyaccmeanz"	-0.107937603673077
"SITTING"	"5"	"tbodyaccmeanz"	-0.108540300265909
"STANDING"	"5"	"tbodyaccmeanz"	-0.102171095696429
"WALKING"	"5"	"tbodyaccmeanz"	-0.107741776464286
"WALKING_DOWNSTAIRS"	"5"	"tbodyaccmeanz"	-0.100319930659574
"WALKING_UPSTAIRS"	"5"	"tbodyaccmeanz"	-0.107471453914894
